[2025-05-02 12:38:08,714: INFO: main: Welcome to info]
[2025-05-05 17:18:36,171: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:18:36,236: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-05-05 17:18:36,236: INFO: comman: created directory at: artifacts]
[2025-05-05 17:18:36,241: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-05-05 17:18:36,241: INFO: 986331348: Downloading data from https://drive.google.com/drive/folders/1HOi_tyvMIWqW3f9An-AH1lezwxmEOk4l?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:19:22,723: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:19:22,724: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-05-05 17:19:22,787: INFO: comman: created directory at: artifacts]
[2025-05-05 17:19:22,791: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-05-05 17:19:22,794: INFO: 986331348: Downloading data from https://drive.google.com/drive/folders/1HOi_tyvMIWqW3f9An-AH1lezwxmEOk4l?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:20:04,173: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:20:04,175: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-05-05 17:20:04,176: INFO: comman: created directory at: artifacts]
[2025-05-05 17:20:04,178: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-05-05 17:20:04,179: INFO: 986331348: Downloading data from https://drive.google.com/drive/folders/1HOi_tyvMIWqW3f9An-AH1lezwxmEOk4l?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:22:29,453: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:22:29,454: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-05-05 17:22:29,456: INFO: comman: created directory at: artifacts]
[2025-05-05 17:22:29,457: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-05-05 17:22:29,457: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1LIc7V18n5ZWXFIfnT8uE6AQjmzyDvU7l/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:22:44,653: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1LIc7V18n5ZWXFIfnT8uE6AQjmzyDvU7l/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:53:55,739: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-05-05 17:53:55,739: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:53:55,739: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-05-05 17:53:55,755: INFO: comman: created directory at: artifacts]
[2025-05-05 17:53:55,755: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-05-05 17:53:55,755: INFO: data_ingestion_01: Downloading data from https://drive.google.com/file/d/1LIc7V18n5ZWXFIfnT8uE6AQjmzyDvU7l/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:54:13,927: INFO: data_ingestion_01: Downloaded data from https://drive.google.com/file/d/1LIc7V18n5ZWXFIfnT8uE6AQjmzyDvU7l/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:54:14,421: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
